date,tweets
04-15-2015,55
04-16-2015,33
04-17-2015,20
04-18-2015,43
04-19-2015,22
04-20-2015,48
04-21-2015,34
04-22-2015,26
04-23-2015,43
04-24-2015,6
04-25-2015,29
04-27-2015,29
04-28-2015,7
04-29-2015,15
04-30-2015,16
05-01-2015,45
05-02-2015,23
05-03-2015,12
05-04-2015,36
05-05-2015,43
05-06-2015,8
05-07-2015,15
05-08-2015,16
05-09-2015,12
05-10-2015,15
05-11-2015,23
05-12-2015,26
05-13-2015,14
05-14-2015,19
05-15-2015,8
05-16-2015,18
05-17-2015,14
05-18-2015,35
05-19-2015,21
05-20-2015,63
05-21-2015,36
05-22-2015,20
05-23-2015,22
05-24-2015,1
05-25-2015,25
05-26-2015,40
05-27-2015,43
05-28-2015,14
05-29-2015,12
05-30-2015,9
05-31-2015,23
06-01-2015,33
06-02-2015,8
06-03-2015,14
06-04-2015,24
06-05-2015,27
06-06-2015,14
06-07-2015,9
06-08-2015,2
06-09-2015,8
06-10-2015,1
06-11-2015,20
06-12-2015,33
06-13-2015,5
06-14-2015,11
06-15-2015,16
06-16-2015,35
06-17-2015,6
06-18-2015,7
06-19-2015,29
06-20-2015,10
06-21-2015,35
06-22-2015,29
06-23-2015,9
06-24-2015,27
06-25-2015,8
06-26-2015,5
06-27-2015,14
06-28-2015,34
06-29-2015,37
06-30-2015,15
07-01-2015,16
07-02-2015,60
07-03-2015,42
07-04-2015,45
07-05-2015,21
07-06-2015,11
07-07-2015,10
07-08-2015,17
07-09-2015,37
07-10-2015,14
07-11-2015,25
07-12-2015,10
07-13-2015,16
07-14-2015,20
07-15-2015,8
07-16-2015,38
07-17-2015,25
07-18-2015,28
07-19-2015,23
07-20-2015,55
07-21-2015,30
07-22-2015,29
07-23-2015,25
07-24-2015,23
07-25-2015,45
07-26-2015,25
07-27-2015,34
07-28-2015,17
07-29-2015,24
07-30-2015,10
07-31-2015,7
08-01-2015,1
08-02-2015,21
08-03-2015,27
08-04-2015,16
08-05-2015,30
08-06-2015,10
08-07-2015,41
08-08-2015,6
08-09-2015,12
08-10-2015,17
08-11-2015,7
08-12-2015,2
08-13-2015,4
08-14-2015,1
08-15-2015,5
08-17-2015,14
08-18-2015,14
08-19-2015,7
08-20-2015,9
08-21-2015,10
08-22-2015,11
08-23-2015,2
08-24-2015,28
